APK1->APK2,ChangeScreen,ChangeTrans
com.github.jameshnsears.quoteunquote-1072433->com.github.jameshnsears.quoteunquote-1092433,1,1
com.github.jameshnsears.quoteunquote-1092433->com.github.jameshnsears.quoteunquote-1082433,3,5
com.github.axet.bookreader-415->com.github.axet.bookreader-414,2,5
com.foobnix.pro.pdf.reader-4814->com.foobnix.pro.pdf.reader-4855,0,0
com.foobnix.pro.pdf.reader-4855->com.foobnix.pro.pdf.reader-4852,0,11
com.perol.asdpl.play.pixivez.libre-110->com.perol.asdpl.play.pixivez.libre-111,0,7
com.perol.asdpl.play.pixivez.libre-111->com.perol.asdpl.play.pixivez.libre-114,0,7
net.fercanet.LNM-5->net.fercanet.LNM-3,4,1
nl.eventinfra.wifisetup-20191205->nl.eventinfra.wifisetup-20181222,2,3
nl.eventinfra.wifisetup-20181222->nl.eventinfra.wifisetup-20190813,0,1
com.simplemobiletools.draw.pro-73->com.simplemobiletools.draw.pro-75,4,4
org.paulmach.textedit-14->org.paulmach.textedit-15,1,1
org.paulmach.textedit-15->org.paulmach.textedit-12,1,0
org.asteroidos.sync-24->org.asteroidos.sync-23,0,0
org.asteroidos.sync-23->org.asteroidos.sync-22,0,0
com.nononsenseapps.feeder.play-255->com.nononsenseapps.feeder.play-257,0,0
com.nononsenseapps.feeder.play-257->com.nononsenseapps.feeder.play-256,0,1
nodomain.freeyourgadget.gadgetbridge-219->nodomain.freeyourgadget.gadgetbridge-218,1,28
nodomain.freeyourgadget.gadgetbridge-218->nodomain.freeyourgadget.gadgetbridge-215,3,5
org.primftpd-61->org.primftpd-59,9,12
org.primftpd-59->org.primftpd-60,7,16
net.jaqpot.netcounter-22->net.jaqpot.netcounter-20,6,7
net.jaqpot.netcounter-20->net.jaqpot.netcounter-18,0,1
net.jaqpot.netcounter-18->net.jaqpot.netcounter-19,0,0
net.jaqpot.netcounter-19->net.jaqpot.netcounter-21,1,1
eu.lepiller.nani-16->eu.lepiller.nani-14,1,1
eu.lepiller.nani-14->eu.lepiller.nani-15,6,9
is.xyz.mpv-27->is.xyz.mpv-28,0,1
anupam.acrylic-17->anupam.acrylic-19,3,7
anupam.acrylic-19->anupam.acrylic-18,0,1
com.fsck.k9-33009->com.fsck.k9-33010,4,13
com.fsck.k9-33010->com.fsck.k9-32002,15,33
app.shosetsu.android.fdroid-39->app.shosetsu.android.fdroid-37,0,0
com.bwx.bequick-201012060->com.bwx.bequick-201106160,3,9
com.bwx.bequick-201106160->com.bwx.bequick-201107260,0,3
com.artifex.mupdf.viewer.app-112->com.artifex.mupdf.viewer.app-110,0,0
com.artifex.mupdf.viewer.app-110->com.artifex.mupdf.viewer.app-111,0,0
fr.ralala.hexviewer-134->fr.ralala.hexviewer-135,1,1
fr.ralala.hexviewer-135->fr.ralala.hexviewer-136,0,0
hu.vsza.adsdroid-9->hu.vsza.adsdroid-10,0,0
hu.vsza.adsdroid-10->hu.vsza.adsdroid-11,0,1
org.fdroid.fdroid-1015052->org.fdroid.fdroid-1015053,3,6
org.fdroid.fdroid-1015053->org.fdroid.fdroid-1015051,6,17
org.ostrya.presencepublisher-46->org.ostrya.presencepublisher-47,13,12
org.ostrya.presencepublisher-47->org.ostrya.presencepublisher-44,0,0
org.jessies.dalvikexplorer-37->org.jessies.dalvikexplorer-39,8,4
org.jessies.dalvikexplorer-39->org.jessies.dalvikexplorer-38,0,1
io.github.domi04151309.home-1100->io.github.domi04151309.home-180,6,11
io.github.domi04151309.home-180->io.github.domi04151309.home-190,12,23
fr.keuse.rightsalert-1->fr.keuse.rightsalert-2,3,4
fr.keuse.rightsalert-2->fr.keuse.rightsalert-3,6,10
