APK1->APK2,ChangeScreen,ChangeTrans
com.github.jameshnsears.quoteunquote-1072433->com.github.jameshnsears.quoteunquote-1092433,1,1
com.github.jameshnsears.quoteunquote-1092433->com.github.jameshnsears.quoteunquote-1082433,3,5
com.github.axet.bookreader-415->com.github.axet.bookreader-414,2,5
com.foobnix.pro.pdf.reader-4855->com.foobnix.pro.pdf.reader-4852,0,11
com.perol.asdpl.play.pixivez.libre-110->com.perol.asdpl.play.pixivez.libre-111,0,7
com.perol.asdpl.play.pixivez.libre-111->com.perol.asdpl.play.pixivez.libre-114,0,7
net.fercanet.LNM-5->net.fercanet.LNM-3,4,1
nl.eventinfra.wifisetup-20191205->nl.eventinfra.wifisetup-20181222,2,3
com.simplemobiletools.draw.pro-73->com.simplemobiletools.draw.pro-75,4,4
org.paulmach.textedit-14->org.paulmach.textedit-15,1,1
nodomain.freeyourgadget.gadgetbridge-219->nodomain.freeyourgadget.gadgetbridge-218,1,28
nodomain.freeyourgadget.gadgetbridge-218->nodomain.freeyourgadget.gadgetbridge-215,3,5
org.primftpd-61->org.primftpd-59,9,12
org.primftpd-59->org.primftpd-60,7,16
net.jaqpot.netcounter-22->net.jaqpot.netcounter-20,6,7
net.jaqpot.netcounter-19->net.jaqpot.netcounter-21,1,1
eu.lepiller.nani-16->eu.lepiller.nani-14,1,1
eu.lepiller.nani-14->eu.lepiller.nani-15,6,9
anupam.acrylic-17->anupam.acrylic-19,3,7
com.fsck.k9-33009->com.fsck.k9-33010,4,13
com.fsck.k9-33010->com.fsck.k9-32002,15,33
com.bwx.bequick-201106160->com.bwx.bequick-201107260,0,3
fr.ralala.hexviewer-134->fr.ralala.hexviewer-135,1,1
org.fdroid.fdroid-1015052->org.fdroid.fdroid-1015053,3,6
org.fdroid.fdroid-1015053->org.fdroid.fdroid-1015051,6,17
org.ostrya.presencepublisher-46->org.ostrya.presencepublisher-47,13,12
org.jessies.dalvikexplorer-37->org.jessies.dalvikexplorer-39,8,4
io.github.domi04151309.home-1100->io.github.domi04151309.home-180,6,11
io.github.domi04151309.home-180->io.github.domi04151309.home-190,12,23
fr.keuse.rightsalert-1->fr.keuse.rightsalert-2,3,4
fr.keuse.rightsalert-2->fr.keuse.rightsalert-3,6,10
